time,r8i1p1f1,r2i1p1f1,r30i1p1f1,r31i1p1f1,r29i1p1f1,r3i1p1f1,r6i1p1f1,r27i1p1f1,r7i1p1f1,r9i1p1f1,r26i1p1f1,r20i1p1f1,r23i1p1f1,r25i1p1f1,r24i1p1f1,r22i1p1f1,r21i1p1f1,r19i1p1f1,r18i1p1f1,r11i1p1f1,r12i1p1f1,r17i1p1f1,r16i1p1f1,r1i1p1f1,r5i1p1f1,r4i1p1f1,r28i1p1f1,r14i1p1f1,r13i1p1f1,r10i1p1f1,r15i1p1f1,r32i1p1f1
2003-04-16 00:00:00,5.0083556,5.300451,4.767111,4.4260416,4.963345,4.8604126,4.9588566,4.531161,4.836221,4.742521,4.74214,4.107275,4.599861,4.5075097,4.316491,4.6681294,4.7944584,5.409854,4.6917176,4.291134,4.2284665,5.3471494,4.561332,5.2413793,4.675215,5.313593,4.003898,4.8154182,4.67774,4.8891926,4.741626,4.773838
2003-05-16 12:00:00,4.701314,5.1696877,3.894694,5.1497273,4.320817,3.9824152,4.664482,4.330326,4.7095795,4.935624,4.6056986,4.426105,4.4124274,4.673351,4.4967494,4.5528293,4.501693,4.529517,4.15089,4.8821406,4.350768,5.050637,4.311335,4.3304048,4.571416,4.69025,5.054134,4.41516,4.4132285,4.254678,4.5344696,4.7564425
2003-06-16 00:00:00,3.9802873,4.6736245,4.555234,4.5228524,3.9096284,4.5391393,4.2548637,4.35112,4.136444,4.6423483,4.6658154,4.3714666,4.7909474,4.5239353,4.8942714,4.404563,4.5631204,4.517505,4.7637935,5.4113193,4.9248495,5.3168225,4.6355767,4.490395,4.6057367,4.542892,4.8690424,4.237856,4.19164,3.9813585,4.731508,4.5265307
2003-07-16 12:00:00,5.0361257,4.957761,4.8559513,4.9249167,4.5276647,4.619813,4.7341375,4.0043497,4.2252927,4.666709,4.2469034,4.2566886,4.7563972,4.701015,4.617367,4.525781,5.147659,4.234893,4.9399424,4.8273287,5.309536,4.7746563,4.810025,4.924423,4.5581017,4.4373617,4.6807885,4.6033487,4.863211,4.8528614,4.9824696,4.9370933
2003-08-16 12:00:00,5.2377005,5.7148495,4.7930975,4.8756723,4.9122863,4.5961566,4.710175,5.2265015,5.0996222,5.316507,4.490141,4.9847064,5.677514,4.649323,5.7650146,4.514278,5.2514625,5.0717263,5.269968,4.9159603,6.3787007,5.9153996,5.177571,5.4286046,5.8610697,4.779428,4.842336,5.5340962,4.946664,5.442117,5.03374,5.899393
2003-09-16 00:00:00,5.3492746,5.5009255,5.4214516,5.194279,4.995356,5.091906,5.9246907,5.8909483,5.3873076,5.224796,5.725001,5.4631996,5.587193,5.1870747,5.9600334,5.408121,6.0058208,5.9601865,5.705824,4.8970585,6.015253,5.394275,5.3937907,5.9240484,5.7394657,4.905723,5.5916715,6.2435007,5.308841,5.277079,5.085879,5.960333
2003-10-16 12:00:00,5.544592,5.5343113,5.295584,5.3611608,4.878086,5.096189,4.968743,5.22747,5.7183666,5.272697,5.095318,5.038247,6.166671,5.2734194,5.564989,5.323322,5.9634705,5.9059305,5.387527,5.3963647,5.33503,5.6006722,5.4550395,6.1525607,5.60488,5.1048856,5.4634986,6.1710877,5.6611915,4.998398,4.9208736,5.0656433
2003-11-16 00:00:00,5.325474,5.388503,4.8881955,5.6407185,5.452395,5.2749104,5.2806315,5.338206,5.178419,4.9310303,5.009722,5.4360533,5.3293004,5.7237945,5.4384437,5.107899,6.5096188,5.2482486,5.4927793,5.4299965,5.449746,5.591025,5.189815,5.8623295,5.370456,4.6512194,5.317346,5.3373513,5.725324,5.1780906,5.6925206,4.8472605
2003-12-16 12:00:00,5.133887,5.4350863,5.6510215,5.793326,4.9057555,5.011683,5.2222443,5.0653667,5.481103,5.4537773,5.2858496,6.2136164,4.8956394,4.7881694,5.278949,4.87734,5.2910767,4.846407,5.2285795,5.1262026,5.882554,4.5150685,5.122811,5.3085837,5.5202603,5.044115,4.9401402,5.344547,4.943087,5.2772045,4.609661,3.886896
2004-01-16 12:00:00,5.390787,4.9313025,5.295306,5.3023934,4.9341836,5.273063,4.66839,5.3740535,5.0183353,5.722533,5.0841403,4.673656,5.1366363,5.006741,5.811596,4.978949,5.5680246,5.111977,4.662673,5.4426537,5.395333,5.385855,5.623657,5.495679,5.4438195,4.905556,5.058559,4.947834,5.0054603,5.1273437,6.367565,5.6919217
