time,r1i1p1f1,r4i1p1f1,r5i1p1f1,r2i1p1f1,r3i1p1f1,r6i1p1f1,r8i1p1f1,r7i1p1f1,r9i1p1f1,r10i1p1f1,r11i1p1f1
2005-07-15 12:00:00,4.737511,5.160104,4.8406544,4.4799213,5.1935782,4.872881,4.9106107,4.39702,4.771892,4.807946,5.0986276
2005-08-15 12:00:00,5.209085,5.112731,5.5677524,5.381997,5.527188,5.0452695,5.2642612,4.606039,4.641885,5.990112,4.6317673
2005-09-15 00:00:00,5.998898,6.4454246,5.7748837,5.951197,5.541143,5.219605,6.5449557,5.973467,5.776303,5.6990314,7.033176
2005-10-15 12:00:00,5.6643066,5.395207,5.950369,5.418097,5.7441506,5.9593906,6.633384,6.2316737,6.245592,5.6936,5.4772053
2005-11-15 00:00:00,5.905627,5.756401,5.3889,5.210722,5.99853,5.039449,6.146837,5.358328,5.808511,6.1128745,6.4131513
2005-12-15 12:00:00,5.3427124,5.935323,5.1774597,5.2942204,5.3920307,5.253382,6.4690075,4.3438334,5.5231457,5.4582157,5.021761
2006-01-15 12:00:00,5.963383,5.8318233,4.4996014,5.6731396,5.47247,5.6711164,5.828767,5.802669,6.065822,5.156771,6.242595
2006-02-14 00:00:00,5.9438763,5.6509404,5.5619035,5.519106,5.9001136,5.319629,5.3222065,6.77964,5.529642,5.747843,4.8626347
2006-03-15 12:00:00,5.535456,5.16131,6.0465198,6.1432896,5.9670434,6.277605,5.5184164,6.3810396,6.1297407,5.535239,4.6580224
2006-04-15 00:00:00,5.5031805,5.424344,5.7684064,5.6787004,6.357597,5.637547,6.0928907,5.926188,4.9567637,4.9603925,4.8541694
2006-05-15 12:00:00,4.6268024,5.007199,4.758009,5.184105,5.232146,5.1760483,4.984415,4.8023133,5.4966636,4.658579,5.3801203
2006-06-15 00:00:00,4.998764,4.7122474,5.5421104,4.4602485,5.075021,4.1590586,4.788451,4.6927485,5.309951,5.376236,4.500921
2006-07-15 12:00:00,4.206899,4.183511,4.5251794,4.2530117,4.943636,4.690335,4.7906322,4.7428,4.8215237,4.803654,4.157919
2006-08-15 12:00:00,5.472,4.889765,5.324233,4.3237414,4.899324,5.0991635,4.8940883,5.140675,5.862829,4.717573,5.604948
2006-09-15 00:00:00,6.549868,5.5994496,5.664711,6.1663494,6.04412,6.5043488,6.4192257,6.510881,7.077352,5.8414183,6.167543
2006-10-15 12:00:00,5.8502913,6.418733,5.448602,6.292472,5.9626694,6.138212,6.2562027,5.511297,5.8546486,6.425728,5.5797253
2006-11-15 00:00:00,6.1673865,5.3672476,5.944941,6.564837,5.736902,6.099479,6.116972,5.1941824,5.9395537,5.3178196,6.6445575
2006-12-15 12:00:00,6.274682,5.7817025,4.7510376,5.627363,5.622854,5.0554066,5.858265,5.65791,6.4816337,5.45706,5.4364605
2007-01-15 12:00:00,5.235647,5.688557,5.1576505,6.2537575,5.270904,6.252289,5.419209,5.308731,5.093072,5.2657967,5.6989694
2007-02-14 00:00:00,5.2560406,6.370851,5.673551,5.4029484,5.2091193,6.296126,5.8211136,5.6134205,6.6087646,5.552438,5.264244
2007-03-15 12:00:00,5.4420266,5.9733715,5.830113,6.6200314,5.1605587,5.5140862,5.591592,6.9463153,6.5841665,5.725737,5.2856884
2007-04-15 00:00:00,5.31334,6.357256,5.4708962,5.6559353,5.6706257,5.403802,4.8466787,5.8678455,6.0977864,5.20795,5.351927
2007-05-15 12:00:00,5.4558063,6.28109,5.4631476,5.2349854,5.530184,6.314584,4.7722015,4.82861,5.510259,5.7011795,5.5878797
2007-06-15 00:00:00,5.000568,4.9867225,4.5569158,5.011093,4.961343,5.243693,4.8954797,4.3827353,5.4443936,4.835334,5.9522424
2007-07-15 12:00:00,4.679744,5.097954,4.42143,5.3177466,4.537058,4.8250957,5.3754883,4.8608265,5.121157,5.309072,5.0288305
2007-08-15 12:00:00,5.3379235,5.0178504,4.9436517,5.411084,5.6446085,5.345475,6.029915,5.2592883,5.526248,5.253418,4.6378736
2007-09-15 00:00:00,7.0481253,6.2903094,5.704027,6.1598973,6.581693,6.803688,6.2810063,6.5863347,6.293614,5.9346886,6.403208
2007-10-15 12:00:00,6.213396,5.4978204,5.783716,6.3317204,6.0728436,5.810339,6.2330675,5.8813615,5.9381123,6.1468267,6.9613857
2007-11-15 00:00:00,4.9481506,5.4151053,6.552537,6.2504706,6.0905056,5.8585305,6.218687,5.937971,6.0286,5.4661407,5.7961154
2007-12-15 12:00:00,5.5745945,5.4125757,5.519341,5.077087,6.723927,5.7752805,5.423104,5.5790596,5.9002604,5.1465716,5.7595696
2008-01-15 12:00:00,5.512181,5.6198707,6.0904694,5.7616177,5.5257907,5.468383,5.5358825,5.9201193,5.8429,5.9959874,6.334833
2008-02-14 00:00:00,5.077581,6.1803885,5.340043,6.195091,5.9931498,6.3815403,6.0477448,5.319915,6.0980244,5.559133,5.956169
2008-03-15 12:00:00,5.235101,6.4396625,5.46801,5.103726,5.969198,6.469758,6.1991653,5.3127956,6.369084,6.2600427,5.687088
2008-04-15 00:00:00,5.693618,5.292146,5.4049373,5.8285503,5.670351,5.7662253,5.331106,6.092052,6.210617,5.300189,5.4758635
2008-05-15 12:00:00,5.6832786,4.604076,4.834963,6.1769032,5.8738523,4.957376,5.132888,5.2449217,5.3851013,5.2014475,5.2642307
2008-06-15 00:00:00,4.6573925,4.008375,4.5484543,4.8943615,5.052982,4.58536,4.545657,4.9541974,4.7041516,4.9429493,4.7457247
2008-07-15 12:00:00,4.545108,4.86427,4.3814034,5.2779293,5.2092204,4.548254,6.179641,6.0262017,4.7769933,4.460668,4.69914
2008-08-15 12:00:00,5.2738333,4.8847265,5.6928883,5.8234277,5.7231092,5.904648,4.949131,5.628611,5.30386,6.014563,5.549881
2008-09-15 00:00:00,5.945423,6.37205,6.3248663,5.7706733,6.045435,5.8743005,5.5308423,6.16934,5.7367563,5.806761,5.897515
2008-10-15 12:00:00,6.050764,5.7458944,6.237332,6.584501,6.0271387,6.0156217,5.4453235,6.258991,6.2907968,5.598676,6.6870093
2008-11-15 00:00:00,5.9799943,5.396604,5.5677176,5.8650784,6.0634546,6.152468,5.48702,5.755374,5.9188175,6.1519938,5.7426286
2008-12-15 12:00:00,5.9760423,5.11853,5.7620697,6.0823255,5.5435553,5.9290576,6.464407,5.5284414,5.3129706,5.9418073,5.7437496
2009-01-15 12:00:00,5.71181,5.801651,5.339219,5.8584313,6.2699866,5.0539627,5.6853743,6.043842,5.830671,5.607199,6.2347426
2009-02-14 00:00:00,5.8749228,7.166776,5.210348,6.229372,5.3537116,5.2742715,6.442667,6.2875443,5.062177,5.421679,5.830696
2009-03-15 12:00:00,6.5875483,5.5747166,5.700054,6.1361895,5.943823,6.034323,6.0567684,6.0856376,5.9580975,6.146543,5.1298776
2009-04-15 00:00:00,5.5943604,6.1479855,5.8870792,6.54376,5.825207,7.029978,6.02033,5.269771,6.1892943,5.560076,5.5220385
2009-05-15 12:00:00,5.557255,4.787066,5.399047,6.036338,5.6439204,6.398891,5.152052,4.7022495,5.2437015,5.6722054,5.1852036
2009-06-15 00:00:00,4.799335,4.9200897,4.847428,4.598123,4.7495074,4.9523416,5.054531,4.129188,5.092017,4.242823,5.264375
2009-07-15 12:00:00,5.049721,4.6464834,5.2061715,5.549478,5.0052013,5.0246906,4.584324,5.4306564,5.3444366,4.149836,5.630824
2009-08-15 12:00:00,4.9088764,5.019287,5.9555917,4.8328824,5.5903635,5.5821676,5.5975146,5.29743,5.5239735,5.030485,5.440657
2009-09-15 00:00:00,5.7498345,6.1655297,5.5036144,6.9487214,6.9183674,5.484003,5.687044,5.9143887,6.695371,5.917538,6.0875854
2009-10-15 12:00:00,6.979426,5.708954,5.8856673,5.7168274,5.767732,5.45595,5.77157,5.64454,6.5353236,6.3521442,6.240716
2009-11-15 00:00:00,6.063642,5.428376,5.822492,5.1940637,5.8533874,6.6569314,5.7877874,5.535898,6.1695557,5.188145,6.212368
2009-12-15 12:00:00,5.17211,5.586063,5.311411,4.9107814,5.9792514,6.330952,5.2068443,5.66453,5.345541,6.4604535,6.0579557
2010-01-15 12:00:00,5.2819004,5.67095,5.724227,5.991461,6.306375,6.1559925,5.9422884,5.585745,5.858445,5.832545,5.275414
2010-02-14 00:00:00,6.7372622,5.77182,6.100207,6.3280354,5.312504,5.4976025,5.495747,5.3319483,5.7514257,5.9322925,5.534578
2010-03-15 12:00:00,5.934087,4.9224343,5.5973535,5.820937,6.1373553,5.858307,6.7549233,6.538256,5.888443,5.279539,6.219445
2010-04-15 00:00:00,6.038542,5.3652244,6.0532894,5.691801,6.086007,5.7076063,5.647318,5.171426,6.2629604,5.2546854,6.226553
2010-05-15 12:00:00,5.021163,5.2283015,4.930097,5.208109,5.15209,4.6633244,4.6487317,5.6589127,5.7384186,5.365482,5.6280375
2010-06-15 00:00:00,5.0146136,4.68104,4.3799624,6.356538,5.3348994,5.1712937,4.3691297,4.7943945,5.2640567,4.5789976,4.571157
2010-07-15 12:00:00,5.1084886,4.6672406,5.0519586,5.724874,4.765087,5.0589023,4.5992527,4.2371407,4.788866,4.633375,4.6699395
2010-08-15 12:00:00,6.1368017,4.574438,5.739085,5.0568705,5.2625904,5.641217,4.7041125,5.142743,4.366331,4.8151245,4.41329
2010-09-15 00:00:00,5.9986744,5.7577033,5.9787774,5.908195,5.728,6.0717764,6.409594,5.898423,6.6905346,5.799511,5.5338993
2010-10-15 12:00:00,6.162888,6.4194393,5.7561064,6.146345,6.21453,6.1830125,6.1472425,5.787672,6.0958576,5.786028,5.705137
2010-11-15 00:00:00,5.407581,6.087717,5.7512336,5.3165765,5.355369,5.523321,5.047159,6.3906817,5.782788,6.1577115,5.29304
2010-12-15 12:00:00,6.637364,5.140562,5.6920953,6.3882113,6.3854585,4.834048,5.6031375,5.320795,6.0134115,5.0088425,5.32073
2011-01-15 12:00:00,5.3822613,5.284078,5.421293,6.146559,6.1648655,5.276121,5.3520236,6.029764,5.245638,5.278469,6.295939
2011-02-14 00:00:00,5.754364,5.968415,4.888978,6.4326344,5.306427,5.614382,5.13153,5.4714437,5.3737907,5.2138004,5.3918376
2011-03-15 12:00:00,6.5639977,6.380008,5.9716263,6.1893563,5.9444513,5.555866,5.0988226,6.064147,5.6991673,5.656763,5.9640226
2011-04-15 00:00:00,5.5529957,5.918662,5.1411095,5.6792345,5.249388,5.6767654,4.9540005,5.707829,5.5682287,5.80238,6.383004
2011-05-15 12:00:00,6.744171,6.2008777,5.532693,5.6904345,5.4798074,5.273397,5.155256,5.3058724,5.1143374,5.6166577,6.103037
2011-06-15 00:00:00,5.918618,4.955948,5.02289,4.9171143,5.575297,4.2589245,4.7991056,4.355735,5.059506,4.744384,4.628477
2011-07-15 12:00:00,5.011505,4.6609364,4.5260983,4.4189324,4.7078576,4.634892,4.7808633,4.8853893,4.611344,4.5412564,4.709963
2011-08-15 12:00:00,5.1006947,5.688897,5.3142023,5.127015,5.060353,4.6841297,5.2308164,5.673027,4.975723,5.487742,4.706446
2011-09-15 00:00:00,5.930648,5.449869,6.461533,6.734095,5.8815937,6.6085644,6.039612,5.951179,7.033079,5.667303,6.0438137
2011-10-15 12:00:00,5.690073,5.949705,6.17167,5.824184,6.198169,5.915111,5.7005353,6.1602535,6.7346654,5.318467,5.980367
2011-11-15 00:00:00,5.804285,5.8495464,5.3024774,5.181735,5.256167,6.078915,5.9379253,5.604275,6.03157,5.3940744,5.583942
2011-12-15 12:00:00,6.059702,5.4580326,5.21653,5.7689657,5.7982473,5.7827888,5.967917,6.249581,5.9068584,5.822582,5.021011
2012-01-15 12:00:00,6.0801573,5.6132975,5.372695,5.4965086,5.1788425,5.111583,5.982893,6.0727596,6.3311253,5.894417,6.106523
2012-02-14 00:00:00,5.8423157,6.2914233,5.9871974,4.930884,6.0277386,6.795566,4.7980723,6.0408416,6.1850414,5.92412,4.7749233
2012-03-15 12:00:00,7.0736117,6.138801,6.3373017,5.319871,5.9761267,5.4382463,5.079812,5.6814365,5.8708467,5.932143,5.3431044
2012-04-15 00:00:00,6.2326746,5.987795,6.0560074,6.2822895,5.1010075,5.7240777,5.4481983,6.0792737,5.4303446,6.44457,5.2252445
2012-05-15 12:00:00,5.1812625,6.2828617,5.284312,5.166659,5.5499606,5.028274,6.159452,5.7639103,5.35033,4.816021,4.8982034
2012-06-15 00:00:00,4.56181,4.9850535,5.161223,4.488378,5.2414722,4.181462,4.924857,5.117661,5.000323,5.307117,4.5512466
