time,r6i1p1f1,r1i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r4i1p1f1,r10i1p1f1,r9i1p1f1,r8i1p1f1,r7i1p1f1,r4i1p5f1,r3i1p5f1,r2i1p5f1,r5i1p5f1,r1i1p5f1,r5i1p1f2,r2i1p1f2,r4i1p1f2,r3i1p1f2,r1i1p1f2,r2i1p3f1,r4i1p3f1,r5i1p3f1,r1i1p3f1,r3i1p3f1
2002-06-16 00:00:00,5.646082,5.0431876,5.2272706,5.350733,5.215472,5.068476,5.4332447,5.402048,5.0343847,5.4727874,5.0871253,5.334156,5.543829,4.591105,5.7346935,5.2165775,4.8348837,5.1753983,5.2109966,5.130956,5.7129636,5.3895884,5.41519,4.772757,4.968099
2002-07-16 12:00:00,5.4713635,4.54173,4.8148737,4.8216925,5.1558385,4.9366417,5.2528324,5.730294,5.1428156,5.6648674,4.784563,5.007749,5.3480062,4.796563,4.637593,5.170076,4.5792575,4.5512586,5.513561,5.0022464,4.81604,5.0114403,4.890546,5.499078,5.874571
2002-08-16 12:00:00,4.8618927,5.1756415,5.4038944,5.016641,4.83235,4.744987,5.2753625,4.787881,5.220237,5.964808,4.662931,5.9868317,5.1540713,5.0756626,4.951353,4.887092,5.669218,5.2545547,4.764254,5.0135264,5.3216467,5.0708585,5.342741,5.4118137,5.130132
2002-09-16 00:00:00,5.141385,5.1902757,5.7327895,5.9275126,5.930424,5.3657017,5.524265,5.9782677,5.7350597,5.6611276,5.768079,5.5879745,5.2490735,5.4367695,5.4587083,5.353338,5.902615,5.4302835,5.0850353,5.33103,6.0279474,5.8507934,5.3918204,5.758378,5.2700734
2002-10-16 12:00:00,5.991004,5.735754,6.1265965,5.711694,6.149967,6.0236807,6.0336804,6.4590387,5.926461,6.0922995,5.5157557,5.9721093,5.335701,6.2629857,6.5749683,5.86063,5.9992137,5.748932,5.27127,6.542364,5.6257935,6.2350135,6.009886,5.75817,5.9677954
2002-11-16 00:00:00,5.877499,5.8728533,5.2982225,6.1519666,5.8814464,5.499915,5.7545767,6.4261527,5.708796,6.378647,6.238228,6.1438227,6.098803,6.444784,6.558103,6.4825764,5.440194,5.099944,5.4956775,6.025906,6.3359766,5.9328785,6.176706,5.9223533,6.0481315
2002-12-16 12:00:00,5.8104763,5.894575,5.928785,6.0796237,5.500118,6.027905,5.823857,5.411293,6.496897,5.712511,5.862879,5.305872,5.0967503,6.3995185,6.379082,5.978043,6.2237988,5.8906612,5.6086874,6.2577114,6.1285596,5.60866,6.439056,6.587411,6.2407074
2003-01-16 12:00:00,5.6867075,6.1711526,5.806121,6.5789323,5.6680627,6.021796,5.659542,5.835895,5.9566374,6.3718567,6.415515,6.1150947,6.3358502,5.9927344,6.7167587,6.061304,5.488166,5.7386074,5.6494956,5.012656,6.179006,5.83798,6.1484966,6.2778625,6.738474
2003-02-15 00:00:00,5.798313,5.8225155,5.5074563,5.6254907,5.6193223,6.420556,6.293263,5.827929,5.8542194,5.41848,5.885386,6.0628924,6.1319275,6.625172,5.4876156,5.5174007,6.0329914,5.474055,5.1143284,5.5894322,5.7724586,5.450181,6.261942,5.2178345,6.1709433
2003-03-16 12:00:00,5.637907,5.8307548,6.773115,5.898928,5.78755,5.3586383,6.3072495,5.8065715,5.8292284,6.2575464,4.9739375,5.7728863,6.1559916,5.7297626,5.6813493,6.3425403,5.8304086,5.2546077,5.9583616,5.35367,5.533929,5.358397,6.205247,6.0053315,5.482811
2003-04-16 00:00:00,5.789255,5.849202,5.29011,5.8544292,5.8848906,5.396559,6.350558,5.5614777,5.464908,5.542654,5.6848674,5.688381,5.901245,5.3192225,5.8838787,6.403226,5.4531646,5.926341,5.854485,5.463039,6.340349,6.2318163,5.585807,5.7169876,5.4682975
