time,r2i1p1f1,r3i1p1f1,r1i1p1f1
1999-05-16 12:00:00,0.113154046,0.11302969,0.111392185
1999-06-16 00:00:00,0.12337861,0.10087212,0.10729343
1999-07-16 12:00:00,0.12099573,0.11788096,0.10859635
1999-08-16 12:00:00,0.11677625,0.12186206,0.13239907
1999-09-16 00:00:00,0.12387651,0.1380026,0.12294599
1999-10-16 12:00:00,0.12995929,0.1222966,0.13095923
1999-11-16 00:00:00,0.13169625,0.12619151,0.12416234
1999-12-16 12:00:00,0.12112774,0.13503346,0.12817542
2000-01-16 12:00:00,0.11688653,0.12660249,0.12259778
2000-02-15 12:00:00,0.12621734,0.11299946,0.12300276
2000-03-16 12:00:00,0.122852005,0.1035385,0.1093499
2000-04-16 00:00:00,0.10207272,0.10421863,0.107240446
2000-05-16 12:00:00,0.110491775,0.10173576,0.096838
2000-06-16 00:00:00,0.11183782,0.12139311,0.10975819
2000-07-16 12:00:00,0.10958949,0.1023243,0.11747459
2000-08-16 12:00:00,0.12804729,0.13263366,0.11860473
2000-09-16 00:00:00,0.13938493,0.12708881,0.122648165
2000-10-16 12:00:00,0.12500736,0.1258698,0.11890489
2000-11-16 00:00:00,0.10472789,0.1286712,0.122269586
2000-12-16 12:00:00,0.1285448,0.11911011,0.12285806
2001-01-16 12:00:00,0.11915625,0.113039605,0.117398836
2001-02-15 00:00:00,0.0983021,0.13204564,0.117293596
2001-03-16 12:00:00,0.115286894,0.114771284,0.10304474
2001-04-16 00:00:00,0.109661914,0.118901476,0.10322967
2001-05-16 12:00:00,0.09964553,0.1272441,0.10421325
2001-06-16 00:00:00,0.10397987,0.10576139,0.10889873
2001-07-16 12:00:00,0.10287661,0.11466989,0.11527844
2001-08-16 12:00:00,0.12608102,0.12665758,0.12271525
2001-09-16 00:00:00,0.12679619,0.114998296,0.13998765
2001-10-16 12:00:00,0.13086675,0.12200138,0.13431221
2001-11-16 00:00:00,0.121860705,0.10952606,0.13087639
2001-12-16 12:00:00,0.10676658,0.12054191,0.13022628
2002-01-16 12:00:00,0.13861915,0.12182553,0.120523766
2002-02-15 00:00:00,0.122256614,0.12419186,0.12392167
2002-03-16 12:00:00,0.09556764,0.10417279,0.106785916
2002-04-16 00:00:00,0.10959973,0.11938087,0.10509816
2002-05-16 12:00:00,0.10559019,0.09845455,0.11780062
2002-06-16 00:00:00,0.09924855,0.109566286,0.1129461
2002-07-16 12:00:00,0.122310475,0.11405441,0.121785454
2002-08-16 12:00:00,0.13070968,0.1334261,0.13191879
2002-09-16 00:00:00,0.13297628,0.13878305,0.12064353
2002-10-16 12:00:00,0.14133327,0.122195385,0.12063571
2002-11-16 00:00:00,0.13413116,0.11071128,0.13467884
2002-12-16 12:00:00,0.119387664,0.12880172,0.12166426
2003-01-16 12:00:00,0.1349044,0.12755866,0.11297142
2003-02-15 00:00:00,0.112683445,0.12149315,0.11018044
2003-03-16 12:00:00,0.14092271,0.11390805,0.10523391
2003-04-16 00:00:00,0.12220629,0.100454636,0.11383949
2003-05-16 12:00:00,0.1002661,0.10722212,0.098638415
2003-06-16 00:00:00,0.09742208,0.10276531,0.09819195
2003-07-16 12:00:00,0.108228385,0.11896621,0.09838914
2003-08-16 12:00:00,0.12665893,0.12448636,0.117839545
2003-09-16 00:00:00,0.11165139,0.14351316,0.14305301
2003-10-16 12:00:00,0.15267874,0.13450588,0.15304805
2003-11-16 00:00:00,0.1282841,0.12245489,0.11025716
2003-12-16 12:00:00,0.12783182,0.12804049,0.10551457
2004-01-16 12:00:00,0.12527938,0.119636305,0.12549047
2004-02-15 12:00:00,0.10469353,0.11317101,0.103257254
2004-03-16 12:00:00,0.10194842,0.11086936,0.11054815
2004-04-16 00:00:00,0.099935696,0.11433743,0.10735111
2004-05-16 12:00:00,0.10376797,0.10468598,0.10638873
2004-06-16 00:00:00,0.099437274,0.0981118,0.11195788
2004-07-16 12:00:00,0.121003754,0.108944274,0.11214945
2004-08-16 12:00:00,0.12138964,0.14266159,0.104773454
2004-09-16 00:00:00,0.14159757,0.15247042,0.12491719
2004-10-16 12:00:00,0.1528645,0.13410346,0.13869189
2004-11-16 00:00:00,0.118100576,0.1175676,0.13412218
2004-12-16 12:00:00,0.119468525,0.13844295,0.122158505
2005-01-16 12:00:00,0.12355257,0.13563882,0.119918846
2005-02-15 00:00:00,0.12059654,0.12324257,0.11905134
2005-03-16 12:00:00,0.12345866,0.12063949,0.11042726
2005-04-16 00:00:00,0.11145407,0.11339421,0.114976056
2005-05-16 12:00:00,0.11368433,0.10812356,0.11895815
2005-06-16 00:00:00,0.11154832,0.11121141,0.12059814
2005-07-16 12:00:00,0.122228585,0.11046909,0.11878555
2005-08-16 12:00:00,0.13030767,0.117026426,0.12268591
2005-09-16 00:00:00,0.13430482,0.13791396,0.11666417
2005-10-16 12:00:00,0.14206904,0.11806503,0.12940037
2005-11-16 00:00:00,0.10845847,0.117290586,0.1222817
2005-12-16 12:00:00,0.12119563,0.12736976,0.14114027
2006-01-16 12:00:00,0.12744844,0.13420436,0.122032106
2006-02-15 00:00:00,0.11589177,0.12326123,0.110417634
2006-03-16 12:00:00,0.100089654,0.09929941,0.11943117
2006-04-16 00:00:00,0.10514397,0.10523184,0.10103823
2006-05-16 12:00:00,0.10390353,0.09843781,0.08905786
2006-06-16 00:00:00,0.10091382,0.10635643,0.10370398
2006-07-16 12:00:00,0.11720034,0.12895162,0.117550634
2006-08-16 12:00:00,0.13509436,0.13098896,0.11814572
2006-09-16 00:00:00,0.122829914,0.1482178,0.13287565
2006-10-16 12:00:00,0.12126291,0.13066688,0.12918471
2006-11-16 00:00:00,0.11324456,0.14769968,0.11399495
2006-12-16 12:00:00,0.12714384,0.12348158,0.12334113
2007-01-16 12:00:00,0.11613206,0.12879032,0.12756824
2007-02-15 00:00:00,0.115371466,0.12903799,0.110797234
2007-03-16 12:00:00,0.117989995,0.120892204,0.10791922
2007-04-16 00:00:00,0.11337108,0.09921259,0.10921458
2007-05-16 12:00:00,0.10646455,0.103794344,0.10153065
2007-06-16 00:00:00,0.108982645,0.10845308,0.098075025
2007-07-16 12:00:00,0.12112525,0.12251013,0.11121158
2007-08-16 12:00:00,0.12935945,0.13515832,0.12890251
2007-09-16 00:00:00,0.13761975,0.13773829,0.13532385
2007-10-16 12:00:00,0.13295,0.14517546,0.1333141
2007-11-16 00:00:00,0.12901206,0.105927706,0.122158535
2007-12-16 12:00:00,0.12271602,0.10894466,0.13726167
2008-01-16 12:00:00,0.12563989,0.13465182,0.10798323
2008-02-15 12:00:00,0.12716715,0.112234436,0.11571057
2008-03-16 12:00:00,0.117694244,0.11270023,0.12187066
2008-04-16 00:00:00,0.1051885,0.1190058,0.11342108
2008-05-16 12:00:00,0.10433389,0.10264486,0.09786463
2008-06-16 00:00:00,0.10438329,0.10059611,0.10081477
2008-07-16 12:00:00,0.12153054,0.10621784,0.109355554
2008-08-16 12:00:00,0.1322182,0.12520082,0.1284779
2008-09-16 00:00:00,0.14133862,0.13461576,0.1353068
2008-10-16 12:00:00,0.12827078,0.14213154,0.12508182
2008-11-16 00:00:00,0.12560064,0.114955455,0.12909268
2008-12-16 12:00:00,0.114841335,0.1222045,0.12165366
2009-01-16 12:00:00,0.12646784,0.1401518,0.14320195
2009-02-15 00:00:00,0.12081183,0.13812652,0.13357978
2009-03-16 12:00:00,0.1220782,0.12322428,0.11601454
2009-04-16 00:00:00,0.12497161,0.1254128,0.11129245
2009-05-16 12:00:00,0.10947423,0.11638943,0.10734442
2009-06-16 00:00:00,0.11834931,0.1083817,0.1073826
2009-07-16 12:00:00,0.10562701,0.11834994,0.11843701
2009-08-16 12:00:00,0.13546169,0.12217562,0.11871147
2009-09-16 00:00:00,0.14890738,0.13577572,0.14918405
2009-10-16 12:00:00,0.1391685,0.13182807,0.1307922
2009-11-16 00:00:00,0.12842366,0.12255186,0.121017046
2009-12-16 12:00:00,0.12208653,0.1339521,0.1353544
2010-01-16 12:00:00,0.12754668,0.11546777,0.13375959
2010-02-15 00:00:00,0.12642981,0.11749207,0.107545376
2010-03-16 12:00:00,0.11899541,0.115189016,0.12388606
2010-04-16 00:00:00,0.09910736,0.12363839,0.11279157
2010-05-16 12:00:00,0.09941299,0.10977832,0.107718356
2010-06-16 00:00:00,0.11168493,0.10922338,0.11564239
2010-07-16 12:00:00,0.124274336,0.11745728,0.10902999
2010-08-16 12:00:00,0.1569134,0.13004883,0.13353136
2010-09-16 00:00:00,0.13619974,0.1331921,0.123961955
2010-10-16 12:00:00,0.14186636,0.14604194,0.12535109
2010-11-16 00:00:00,0.11181078,0.13459593,0.12545803
2010-12-16 12:00:00,0.1378682,0.12528713,0.12103562
2011-01-16 12:00:00,0.12804143,0.1112628,0.130451
2011-02-15 00:00:00,0.108792655,0.111926846,0.12483498
2011-03-16 12:00:00,0.11607556,0.120069385,0.10690712
2011-04-16 00:00:00,0.114791974,0.11143186,0.099480145
2011-05-16 12:00:00,0.103925504,0.10260906,0.094891496
2011-06-16 00:00:00,0.106564455,0.10649653,0.10259794
2011-07-16 12:00:00,0.12185241,0.12806337,0.112354204
2011-08-16 12:00:00,0.14641854,0.1170366,0.13560143
2011-09-16 00:00:00,0.1418488,0.13038847,0.14042877
2011-10-16 12:00:00,0.14005104,0.13859376,0.1311948
2011-11-16 00:00:00,0.14528011,0.14064956,0.11972011
2011-12-16 12:00:00,0.13082373,0.11664072,0.12472811
