time,r5i1p1f1,r13i1p1f1,r19i1p1f1,r9i1p1f1,r3i1p1f1,r12i1p1f1,r1i1p1f1,r4i1p1f1,r11i1p1f1,r14i1p1f1,r29i1p1f1,r6i1p1f1,r26i1p1f1,r2i1p1f1,r7i1p1f1
1982-04-16 00:00:00,0.10724607,0.118916504,0.11617287,0.122799486,0.12300006,0.11719683,0.10758306,0.111591846,0.12113636,0.11927804,0.10243534,0.118783,0.12854633,0.10757472,0.122611605
1982-05-16 12:00:00,0.11003622,0.09903871,0.11584962,0.108038895,0.11187076,0.119645946,0.11264367,0.09508901,0.10456745,0.106776826,0.10240177,0.116406925,0.12311503,0.11373105,0.11653043
1982-06-16 00:00:00,0.12018136,0.1104186,0.12602131,0.11615893,0.09550668,0.11916369,0.10770915,0.10190722,0.0915724,0.114852615,0.1035539,0.11071154,0.12000892,0.11080462,0.11806983
1982-07-16 12:00:00,0.118535034,0.101746425,0.11621748,0.11268755,0.10009845,0.115429066,0.11871263,0.11003672,0.1130354,0.11044894,0.11242629,0.108631186,0.11334797,0.108536646,0.124534115
1982-08-16 12:00:00,0.12243631,0.13057081,0.10725968,0.12140714,0.12254221,0.11819573,0.119769916,0.118101336,0.10538877,0.11724814,0.116511956,0.116687365,0.12025891,0.14515996,0.1207404
1982-09-16 00:00:00,0.12604101,0.12460348,0.13920756,0.1327194,0.11986503,0.13285807,0.11748468,0.12026306,0.110156104,0.1374216,0.12345058,0.13978371,0.12825303,0.12798531,0.1072952
1982-10-16 12:00:00,0.12984222,0.12138287,0.13089882,0.1454978,0.12863187,0.13241398,0.12130214,0.14159155,0.11728709,0.13737805,0.12844995,0.11300175,0.15821946,0.1357708,0.13205123
1982-11-16 00:00:00,0.1400525,0.14979057,0.14360157,0.15422359,0.1491363,0.15566295,0.12751901,0.13399687,0.13019681,0.1585538,0.14816642,0.12660332,0.14809257,0.14292946,0.1478589
1982-12-16 12:00:00,0.14406197,0.15971729,0.16589972,0.15729615,0.1558091,0.16124806,0.13993478,0.14486974,0.14118032,0.15762839,0.14027958,0.14245254,0.16376156,0.14375432,0.1464123
1983-01-16 12:00:00,0.14080694,0.14006472,0.1454009,0.15516505,0.14376746,0.15100752,0.14321652,0.13473623,0.14768726,0.15705201,0.15086724,0.16128723,0.16761738,0.15619667,0.15685499
1983-02-15 00:00:00,0.13788582,0.1482724,0.14814052,0.14352669,0.14662288,0.12853855,0.123406075,0.12582794,0.13368219,0.1497874,0.13064377,0.13667853,0.15454358,0.12980734,0.13798869
1983-03-16 12:00:00,0.13182588,0.12188696,0.11673062,0.13470416,0.12028949,0.11499201,0.113463715,0.12280758,0.14469095,0.118226014,0.12282356,0.10958355,0.13218337,0.11515185,0.1209602
1983-04-16 00:00:00,0.11633294,0.1129545,0.10407716,0.1074875,0.10768599,0.10833177,0.107478574,0.1041986,0.13585694,0.12189644,0.09063142,0.11329824,0.122888066,0.11398688,0.111914575
1983-05-16 12:00:00,0.12295771,0.09795271,0.1121227,0.11222336,0.11501268,0.1163855,0.10751571,0.10277205,0.1296086,0.10918974,0.118606634,0.12193229,0.115166165,0.112724885,0.11065951
1983-06-16 00:00:00,0.10549096,0.11148874,0.10730038,0.11698931,0.10893506,0.11613257,0.11644964,0.10713122,0.103269726,0.109229825,0.1129278,0.11025097,0.117277116,0.117850244,0.09956693
1983-07-16 12:00:00,0.114838116,0.111439094,0.11260564,0.11998781,0.10900713,0.11531798,0.11799793,0.108341224,0.10495028,0.1137086,0.11569092,0.10458898,0.118279636,0.11430512,0.120959155
1983-08-16 12:00:00,0.12456066,0.12945472,0.12015427,0.13799718,0.10882898,0.11975709,0.13194937,0.12825897,0.122622505,0.14626755,0.116254546,0.10517966,0.123664156,0.11741087,0.11654996
1983-09-16 00:00:00,0.12536918,0.114317134,0.12430623,0.13404135,0.1144649,0.13154835,0.12839864,0.12593913,0.12851712,0.12825035,0.13000497,0.122900546,0.13659917,0.13617045,0.13286173
1983-10-16 12:00:00,0.1490465,0.1256432,0.14762196,0.124933966,0.12878168,0.13096233,0.1477317,0.13229512,0.12880205,0.12510924,0.13343124,0.12328543,0.13299678,0.13698852,0.14460993
1983-11-16 00:00:00,0.14550139,0.12668978,0.12745391,0.15800187,0.16114287,0.12323183,0.14352676,0.12758155,0.14694177,0.14400916,0.13065244,0.14898372,0.14884655,0.14366211,0.1414974
1983-12-16 12:00:00,0.13859919,0.13786559,0.1371213,0.1516501,0.14696935,0.17049567,0.15140897,0.12846601,0.14904325,0.13708763,0.15131064,0.13111411,0.1523314,0.1628616,0.14301915
1984-01-16 12:00:00,0.14582682,0.13587198,0.13489035,0.13190635,0.14732684,0.1410168,0.1460911,0.14690429,0.14473316,0.14116491,0.15254812,0.13723314,0.14033507,0.1563104,0.12748556
1984-02-15 12:00:00,0.13774869,0.13298902,0.13971235,0.1299964,0.14355804,0.1222592,0.1337928,0.11774107,0.14580634,0.14303194,0.14392576,0.1412666,0.13928103,0.15437527,0.1331641
1984-03-16 12:00:00,0.13725269,0.11841961,0.124392875,0.117604926,0.13737355,0.11556343,0.10791533,0.12006038,0.13156772,0.124309994,0.12163393,0.12307556,0.12661606,0.12598445,0.1253422
1984-04-16 00:00:00,0.107114665,0.099682264,0.10897411,0.10438509,0.12581919,0.11047738,0.10755078,0.11173495,0.09815152,0.11317417,0.1216606,0.10632486,0.13018979,0.12506944,0.10532746
1984-05-16 12:00:00,0.10482338,0.10873373,0.108435564,0.11072225,0.109677,0.11170046,0.10858384,0.10635478,0.10801152,0.09789123,0.12084321,0.11533671,0.10073787,0.118493505,0.095850796
1984-06-16 00:00:00,0.11880843,0.116497755,0.106026396,0.11185565,0.1191658,0.11001943,0.10022,0.10955833,0.11459737,0.09897381,0.10228888,0.107568696,0.12739159,0.10903311,0.11099573
1984-07-16 12:00:00,0.11619629,0.102566555,0.11749268,0.115506895,0.114210606,0.11091742,0.10380116,0.113427386,0.11124233,0.10983127,0.12173334,0.10586684,0.1207711,0.11653268,0.11517922
1984-08-16 12:00:00,0.118779965,0.1261561,0.11922272,0.12529556,0.112244874,0.115721315,0.1175399,0.12181659,0.11374477,0.12889756,0.116866834,0.12580775,0.12541996,0.12110457,0.11459473
1984-09-16 00:00:00,0.12789862,0.13069423,0.11323816,0.13306239,0.13137922,0.12386107,0.13371226,0.105131924,0.11911268,0.13290851,0.13500158,0.13388081,0.13276978,0.12015801,0.12147349
1984-10-16 12:00:00,0.14822513,0.12422653,0.13242117,0.13671322,0.13397352,0.14933409,0.14522654,0.13271938,0.13507394,0.12953572,0.1231924,0.13693605,0.14251006,0.142178,0.120657444
1984-11-16 00:00:00,0.15390001,0.13056177,0.18283243,0.14528391,0.14119911,0.14458674,0.14109997,0.15376528,0.15742157,0.13703015,0.14786498,0.15040617,0.14971079,0.14311306,0.14133045
1984-12-16 12:00:00,0.15314361,0.14948568,0.14827485,0.14924516,0.16677581,0.16357069,0.15692307,0.1506709,0.15813261,0.15258537,0.14306371,0.14717485,0.15815027,0.15944716,0.15507433
1985-01-16 12:00:00,0.1504283,0.1473512,0.1449219,0.14148493,0.15314724,0.1355538,0.13291848,0.15132293,0.15145122,0.15391268,0.15854383,0.1428083,0.15587991,0.14974736,0.15793628
1985-02-15 00:00:00,0.12781917,0.14648686,0.13725433,0.133955,0.14608543,0.14316183,0.14698696,0.13967268,0.13884924,0.12869775,0.13027911,0.1405997,0.13747977,0.12777437,0.13112947
1985-03-16 12:00:00,0.122632764,0.12518154,0.1100831,0.1271425,0.13811894,0.12101414,0.11903104,0.12282046,0.12882553,0.11185605,0.12443915,0.115065135,0.14651611,0.117676765,0.12930459
