time,r7i1p1f1,r3i1p1f1,r13i1p1f1,r19i1p1f1,r6i1p1f1,r5i1p1f1,r9i1p1f1,r29i1p1f1,r14i1p1f1,r26i1p1f1,r4i1p1f1,r12i1p1f1,r1i1p1f1,r11i1p1f1,r2i1p1f1
1982-08-16 12:00:00,0.1207404,0.12254222,0.13057081,0.10725968,0.11668736,0.12243631,0.121407144,0.116511956,0.11724814,0.1202589,0.11810134,0.11819573,0.119769916,0.10538876,0.14515996
1982-09-16 00:00:00,0.1072952,0.11986503,0.12460348,0.13920756,0.13978371,0.12604101,0.1327194,0.12345057,0.1374216,0.12825303,0.120263055,0.13285807,0.11748468,0.11015609,0.12798531
1982-10-16 12:00:00,0.13205123,0.12863187,0.121382855,0.13089882,0.11300175,0.12984222,0.1454978,0.12844995,0.13737807,0.15821946,0.14159155,0.13241398,0.12130214,0.1172871,0.1357708
1982-11-16 00:00:00,0.1478589,0.1491363,0.14979057,0.14360157,0.1266033,0.1400525,0.15422359,0.14816642,0.1585538,0.14809257,0.13399687,0.15566295,0.12751901,0.13019681,0.14292946
1982-12-16 12:00:00,0.1464123,0.1558091,0.15971728,0.16589972,0.14245252,0.14406197,0.15729615,0.14027958,0.15762839,0.16376156,0.14486974,0.16124806,0.13993478,0.14118032,0.14375432
1983-01-16 12:00:00,0.15685499,0.14376748,0.14006472,0.1454009,0.16128723,0.14080694,0.15516505,0.15086724,0.157052,0.16761738,0.13473623,0.15100752,0.14321652,0.14768727,0.15619665
1983-02-15 00:00:00,0.1379887,0.1466229,0.1482724,0.14814052,0.13667853,0.13788582,0.1435267,0.13064377,0.14978737,0.15454358,0.12582794,0.12853855,0.123406075,0.13368219,0.12980734
1983-03-16 12:00:00,0.1209602,0.12028949,0.12188696,0.11673063,0.10958355,0.13182588,0.13470416,0.122823566,0.11822601,0.13218336,0.12280758,0.11499201,0.113463715,0.14469095,0.11515184
1983-04-16 00:00:00,0.11191459,0.10768599,0.1129545,0.10407716,0.11329824,0.11633294,0.1074875,0.09063142,0.12189643,0.12288807,0.1041986,0.10833177,0.107478574,0.13585694,0.11398688
1983-05-16 12:00:00,0.11065952,0.1150127,0.09795271,0.1121227,0.1219323,0.12295771,0.11222336,0.118606634,0.10918974,0.115166165,0.10277205,0.1163855,0.10751571,0.1296086,0.112724885
1983-06-16 00:00:00,0.09956693,0.10893506,0.11148874,0.10730038,0.11025097,0.10549096,0.11698931,0.1129278,0.109229825,0.117277116,0.1071312,0.11613257,0.116449624,0.103269726,0.117850244
1983-07-16 12:00:00,0.120959155,0.10900713,0.111439094,0.11260564,0.10458898,0.114838116,0.1199878,0.11569092,0.1137086,0.118279636,0.10834123,0.11531798,0.11799792,0.10495028,0.11430513
1983-08-16 12:00:00,0.116549954,0.10882898,0.12945472,0.120154284,0.10517966,0.124560654,0.13799717,0.116254546,0.14626755,0.12366416,0.12825897,0.11975709,0.13194937,0.122622505,0.11741087
1983-09-16 00:00:00,0.13286172,0.1144649,0.114317134,0.12430623,0.122900546,0.12536918,0.13404134,0.13000497,0.12825033,0.13659915,0.12593913,0.13154835,0.12839866,0.12851712,0.13617045
1983-10-16 12:00:00,0.14460993,0.12878168,0.1256432,0.14762194,0.12328542,0.14904648,0.12493396,0.13343124,0.12510924,0.13299677,0.13229512,0.13096231,0.1477317,0.12880205,0.13698852
1983-11-16 00:00:00,0.14149742,0.16114287,0.12668978,0.12745391,0.14898372,0.14550139,0.15800187,0.13065243,0.14400916,0.14884655,0.12758155,0.12323181,0.14352675,0.14694177,0.14366211
1983-12-16 12:00:00,0.14301917,0.14696935,0.13786559,0.1371213,0.13111411,0.13859919,0.1516501,0.15131062,0.13708761,0.1523314,0.128466,0.17049567,0.15140899,0.14904325,0.16286162
1984-01-16 12:00:00,0.12748556,0.14732686,0.13587198,0.13489036,0.13723314,0.14582682,0.13190635,0.15254809,0.14116491,0.14033507,0.14690429,0.14101681,0.1460911,0.14473316,0.1563104
1984-02-15 12:00:00,0.1331641,0.14355804,0.132989,0.13971235,0.1412666,0.13774869,0.1299964,0.14392576,0.14303194,0.13928103,0.11774107,0.1222592,0.13379279,0.14580634,0.15437527
1984-03-16 12:00:00,0.1253422,0.13737355,0.11841962,0.12439288,0.12307556,0.13725269,0.117604926,0.12163393,0.124309994,0.12661606,0.12006038,0.11556342,0.10791534,0.13156772,0.12598443
1984-04-16 00:00:00,0.10532747,0.12581919,0.099682264,0.10897411,0.10632487,0.10711468,0.10438509,0.1216606,0.11317417,0.13018979,0.11173495,0.11047738,0.10755078,0.09815152,0.12506944
1984-05-16 12:00:00,0.095850796,0.109677,0.10873373,0.108435564,0.11533671,0.10482339,0.11072225,0.12084321,0.09789123,0.10073787,0.10635478,0.11170046,0.10858384,0.10801152,0.118493505
1984-06-16 00:00:00,0.11099573,0.1191658,0.116497755,0.106026396,0.107568696,0.11880845,0.11185565,0.10228889,0.09897381,0.1273916,0.10955833,0.11001944,0.10022,0.11459737,0.10903311
1984-07-16 12:00:00,0.11517922,0.114210606,0.102566555,0.11749268,0.10586683,0.11619629,0.115506895,0.12173334,0.10983127,0.1207711,0.113427386,0.11091742,0.10380116,0.11124233,0.11653269
1984-08-16 12:00:00,0.11459473,0.112244874,0.1261561,0.11922272,0.12580775,0.118779965,0.12529555,0.116866834,0.12889756,0.12541996,0.12181659,0.115721315,0.1175399,0.11374477,0.12110456
1984-09-16 00:00:00,0.12147349,0.13137922,0.13069423,0.11323816,0.1338808,0.12789862,0.13306238,0.13500158,0.13290851,0.13276978,0.105131924,0.12386107,0.13371228,0.119112685,0.12015801
1984-10-16 12:00:00,0.120657444,0.13397352,0.12422653,0.13242117,0.13693605,0.14822513,0.13671322,0.1231924,0.12953572,0.14251006,0.13271938,0.14933409,0.14522655,0.13507394,0.142178
1984-11-16 00:00:00,0.14133045,0.14119911,0.13056177,0.18283243,0.15040617,0.15390001,0.14528391,0.14786498,0.13703017,0.14971079,0.15376528,0.14458674,0.14109997,0.15742157,0.14311306
1984-12-16 12:00:00,0.15507433,0.16677584,0.14948568,0.14827485,0.14717487,0.15314361,0.14924516,0.14306371,0.15258537,0.15815027,0.1506709,0.16357069,0.15692307,0.15813261,0.15944716
1985-01-16 12:00:00,0.15793628,0.15314725,0.1473512,0.1449219,0.1428083,0.15042831,0.14148493,0.15854383,0.15391268,0.15587991,0.15132293,0.1355538,0.13291848,0.15145122,0.14974736
1985-02-15 00:00:00,0.13112947,0.14608543,0.14648686,0.13725436,0.1405997,0.12781915,0.133955,0.1302791,0.12869775,0.13747977,0.13967268,0.14316183,0.14698696,0.13884924,0.12777439
1985-03-16 12:00:00,0.12930459,0.13811894,0.12518154,0.1100831,0.11506513,0.122632764,0.1271425,0.12443914,0.11185606,0.1465161,0.12282045,0.12101412,0.11903104,0.12882553,0.117676765
1985-04-16 00:00:00,0.1208787,0.11548611,0.1166658,0.11399165,0.11658884,0.118019566,0.11021687,0.11438505,0.122200705,0.1365799,0.11590264,0.11470218,0.11360211,0.103743084,0.10985542
1985-05-16 12:00:00,0.11265614,0.10452444,0.11243543,0.09768049,0.1065376,0.10450057,0.116913214,0.096276924,0.10833388,0.13257417,0.106498174,0.10304723,0.115796514,0.11189464,0.103109345
1985-06-16 00:00:00,0.1045458,0.108622156,0.114724636,0.11629363,0.10965949,0.11569713,0.11451901,0.106330924,0.10677122,0.118618704,0.11134057,0.10918745,0.0996985,0.101015754,0.11767403
1985-07-16 12:00:00,0.12641956,0.1100473,0.106349275,0.11364679,0.10400259,0.10727787,0.108377844,0.11356355,0.103503704,0.106943205,0.102390245,0.12752661,0.10797603,0.11297316,0.11073047
1985-08-16 12:00:00,0.12446118,0.114258744,0.11086148,0.11831974,0.12428268,0.11984969,0.121993296,0.12639102,0.12928773,0.107213564,0.11090878,0.13363028,0.1342818,0.12694637,0.12937687
1985-09-16 00:00:00,0.117483094,0.11427614,0.1381666,0.120710135,0.11592564,0.1323781,0.13888304,0.13265492,0.13358876,0.1244865,0.121012144,0.11010743,0.1248929,0.13601996,0.12352861
1985-10-16 12:00:00,0.13369122,0.13935027,0.11820374,0.121309325,0.12946513,0.12077186,0.152519,0.11377669,0.13818233,0.13720989,0.12803556,0.1300793,0.13645084,0.14915395,0.13654217
1985-11-16 00:00:00,0.13854791,0.14213511,0.13933924,0.15909865,0.14392884,0.14888929,0.14376098,0.13338146,0.14527397,0.15143548,0.12756371,0.14779106,0.14388984,0.12630466,0.14407276
1985-12-16 12:00:00,0.14164211,0.16042836,0.14230022,0.15854527,0.13599159,0.16098344,0.15544654,0.15898773,0.13937072,0.14584908,0.15394405,0.14225169,0.14466283,0.14478962,0.15795228
1986-01-16 12:00:00,0.13948174,0.15375933,0.1571293,0.15634163,0.13361184,0.15829937,0.15849061,0.15033923,0.14671977,0.1624332,0.15405507,0.13201065,0.13791373,0.13274375,0.14391091
1986-02-15 00:00:00,0.13230225,0.124787,0.15061463,0.12861677,0.124462724,0.13269626,0.14364265,0.1332639,0.12915038,0.15787242,0.15145536,0.13552634,0.14422986,0.13906282,0.13095206
1986-03-16 12:00:00,0.12613906,0.12726246,0.1385023,0.10568248,0.12259903,0.117568545,0.13038582,0.11764493,0.12023225,0.12920119,0.13480537,0.14376485,0.14285487,0.11698295,0.11545216
1986-04-16 00:00:00,0.12003187,0.1019736,0.11901958,0.11732198,0.1179583,0.113877445,0.13312608,0.115984306,0.10201716,0.12820609,0.13510744,0.119235,0.11883833,0.098487295,0.12729602
1986-05-16 12:00:00,0.10331318,0.10416152,0.11119105,0.11239554,0.11012935,0.10698073,0.11741844,0.103262275,0.11557366,0.12252902,0.11424269,0.116391346,0.1148521,0.11214324,0.10745056
1986-06-16 00:00:00,0.11792445,0.1119073,0.110899955,0.1149043,0.10394679,0.10592208,0.10994501,0.12606344,0.114105076,0.10904293,0.10796317,0.10900602,0.10977696,0.10186648,0.09511795
1986-07-16 12:00:00,0.12224497,0.12035415,0.111164875,0.115338825,0.1009568,0.11894129,0.11956075,0.11988852,0.11921807,0.108691186,0.117352515,0.11568776,0.1150015,0.11867785,0.1137211
1986-08-16 12:00:00,0.10711762,0.120228626,0.13353458,0.13782464,0.12633088,0.11618746,0.14338866,0.12278735,0.10668185,0.13113976,0.12541084,0.13500533,0.10217819,0.11905006,0.12562658
1986-09-16 00:00:00,0.11584297,0.13277133,0.11824951,0.13134806,0.12681954,0.13661283,0.1227191,0.14569949,0.13904645,0.13293314,0.12607856,0.114539795,0.1192542,0.10682177,0.12406713
1986-10-16 12:00:00,0.13417862,0.15617613,0.13949843,0.13321689,0.13187058,0.12416546,0.15200055,0.14696565,0.14003302,0.1539838,0.13658962,0.12266395,0.14085475,0.1342671,0.14312127
1986-11-16 00:00:00,0.13821116,0.1444048,0.16086951,0.14536323,0.14577977,0.14538999,0.15138888,0.1394594,0.15053222,0.16512707,0.1635078,0.1619673,0.1401334,0.13585733,0.14721316
1986-12-16 12:00:00,0.13689229,0.13787575,0.14313793,0.14855404,0.16672954,0.16321139,0.16181302,0.17554279,0.14640921,0.16178206,0.16337751,0.14946045,0.14998516,0.15037693,0.14111143
1987-01-16 12:00:00,0.14200586,0.14999095,0.14946575,0.15533586,0.16164348,0.1397718,0.15567052,0.14367494,0.14523667,0.16236067,0.14812286,0.12924233,0.14244111,0.13054426,0.14203016
1987-02-15 00:00:00,0.1283824,0.12031071,0.13753372,0.14337869,0.14911644,0.13825384,0.14987896,0.14077559,0.13787654,0.14548664,0.14125887,0.14075357,0.13275442,0.13146682,0.13859282
1987-03-16 12:00:00,0.12124272,0.11209189,0.115581624,0.11859764,0.104460664,0.13095145,0.13140634,0.123226374,0.12996013,0.12971264,0.11964254,0.12005578,0.120062105,0.11766259,0.11223061
1987-04-16 00:00:00,0.11227952,0.096449666,0.11589365,0.11717544,0.11501921,0.11655905,0.116951816,0.1114271,0.11739108,0.122276135,0.09718691,0.104480416,0.1258029,0.10304826,0.11189587
1987-05-16 12:00:00,0.10565604,0.09873443,0.1151792,0.10672777,0.111568876,0.11172747,0.113482095,0.11047117,0.10937407,0.119157225,0.10052523,0.10415313,0.10813145,0.09729167,0.11327617
1987-06-16 00:00:00,0.12117052,0.10255774,0.11049542,0.11507251,0.11148928,0.10833037,0.117506236,0.101776585,0.11435648,0.1141733,0.116161495,0.117597945,0.11133869,0.099583685,0.113195
1987-07-16 12:00:00,0.12968852,0.120331526,0.106432214,0.11364442,0.10969156,0.12655148,0.10413871,0.11850762,0.11941514,0.11461569,0.105231866,0.124903545,0.12172115,0.11801955,0.106663086
1987-08-16 12:00:00,0.13415231,0.115896195,0.12022968,0.12194555,0.12115258,0.130459,0.12919909,0.1257697,0.11553118,0.12728734,0.11842309,0.13337599,0.10661991,0.11665064,0.121580675
1987-09-16 00:00:00,0.12360798,0.1296607,0.12487469,0.13733907,0.13102129,0.10729398,0.1329346,0.13252263,0.11321224,0.1453404,0.1242349,0.13603495,0.12082162,0.12771444,0.12283663
1987-10-16 12:00:00,0.15205245,0.1262105,0.13560809,0.13709807,0.1432891,0.13402002,0.14518586,0.13855012,0.12603989,0.131604,0.1376625,0.15808456,0.12642464,0.12685317,0.12611969
1987-11-16 00:00:00,0.13960828,0.15554726,0.14759226,0.15502264,0.12730761,0.16315335,0.14016312,0.14874873,0.121930555,0.14986348,0.15276802,0.14850184,0.14750211,0.13266535,0.1557355
1987-12-16 12:00:00,0.14044197,0.14173505,0.14349909,0.1423916,0.14270933,0.14790326,0.15832074,0.14297746,0.14286444,0.15280823,0.14917168,0.15389533,0.14789012,0.14905016,0.15681642
1988-01-16 12:00:00,0.1546541,0.14254192,0.15180224,0.14748907,0.14291131,0.1389158,0.14991194,0.15322235,0.13174653,0.14466617,0.15264249,0.13769719,0.14844039,0.13772516,0.14523046
1988-02-15 12:00:00,0.14171681,0.14097202,0.14149915,0.13553494,0.13185106,0.13581051,0.13498163,0.13750026,0.13978627,0.15592977,0.13931166,0.15877976,0.12542121,0.13310823,0.13876407
1988-03-16 12:00:00,0.12454064,0.117407374,0.12397857,0.13000207,0.12463712,0.12463278,0.123224586,0.12646627,0.1173658,0.13013725,0.13258596,0.10156957,0.11428389,0.123167224,0.12524831
1988-04-16 00:00:00,0.11583669,0.10797019,0.12717879,0.1173558,0.10711903,0.12173673,0.10073066,0.10830245,0.11549844,0.10942686,0.11370104,0.10485565,0.11465608,0.10358639,0.113122486
1988-05-16 12:00:00,0.11037496,0.10094696,0.10226343,0.116234824,0.10197599,0.12049823,0.1202221,0.099372804,0.101198114,0.115580514,0.1130733,0.10657114,0.102727436,0.10647275,0.114867456
1988-06-16 00:00:00,0.103338376,0.11555626,0.113409646,0.110067785,0.11064035,0.12103376,0.1068081,0.1176421,0.10293991,0.1123854,0.11123399,0.107636236,0.11388772,0.09502395,0.12454846
1988-07-16 12:00:00,0.11748337,0.11484005,0.11940285,0.115106374,0.11504295,0.113207445,0.122146785,0.11021341,0.1053309,0.12610406,0.11191276,0.10937387,0.118487746,0.11477148,0.1210601
1988-08-16 12:00:00,0.12753974,0.116172224,0.120110154,0.12190412,0.116279066,0.12442612,0.11959194,0.14660127,0.11350708,0.12340996,0.13132879,0.12055603,0.12165034,0.11928874,0.123569466
1988-09-16 00:00:00,0.14213173,0.13107136,0.10697388,0.13707346,0.12939787,0.1308829,0.14013404,0.13846818,0.11610494,0.14300452,0.13132335,0.12440119,0.12335216,0.13086675,0.1357373
1988-10-16 12:00:00,0.14092502,0.12688583,0.12948547,0.1221969,0.13265535,0.13222869,0.13183871,0.13941076,0.14932516,0.14052281,0.13148116,0.12939131,0.13662833,0.1403547,0.13607161
1988-11-16 00:00:00,0.13338615,0.14594902,0.14238209,0.15156583,0.1534773,0.15544428,0.14068708,0.13442096,0.1452292,0.14729205,0.16475652,0.14595228,0.15342407,0.13169038,0.15862897
1988-12-16 12:00:00,0.15118548,0.14625569,0.1373963,0.13841325,0.13913135,0.14428645,0.15571496,0.16532019,0.14803423,0.14798033,0.15079169,0.14436941,0.16528906,0.15500037,0.15637827
1989-01-16 12:00:00,0.1421183,0.1486434,0.14326106,0.15849578,0.13940787,0.13923863,0.14607374,0.1465593,0.16780734,0.15407518,0.1389968,0.15174948,0.13226214,0.15492745,0.14737189
1989-02-15 00:00:00,0.13967335,0.14315125,0.1277404,0.12489866,0.13562556,0.16820188,0.14408346,0.1307229,0.12859899,0.1257862,0.14806134,0.14053674,0.14652418,0.13346687,0.14669198
1989-03-16 12:00:00,0.14408615,0.12235756,0.11548989,0.10296161,0.12010507,0.13364054,0.1333835,0.121963434,0.12604102,0.12988818,0.13791037,0.12571774,0.116577774,0.124467164,0.11676543
1989-04-16 00:00:00,0.11834401,0.11031548,0.10871653,0.08807734,0.12120869,0.12455693,0.10854615,0.114243,0.11101148,0.11954007,0.12737526,0.121499285,0.11578118,0.10681956,0.10922233
1989-05-16 12:00:00,0.11255948,0.10591185,0.11249055,0.10436896,0.11989883,0.12343593,0.10981313,0.106934614,0.10026112,0.110541515,0.11842584,0.10699631,0.11276411,0.09612512,0.10869115
1989-06-16 00:00:00,0.103355505,0.109973796,0.10847236,0.1183404,0.101610065,0.110387854,0.117634214,0.11399998,0.10100399,0.12441499,0.11213407,0.10145737,0.11692871,0.113768555,0.11398493
1989-07-16 12:00:00,0.11090161,0.11488575,0.12271557,0.11297318,0.10436585,0.11043676,0.10678248,0.113555804,0.10298971,0.108484015,0.10425504,0.1128744,0.11611936,0.12602222,0.1256594
1989-08-16 12:00:00,0.12425155,0.11878863,0.12957364,0.12817928,0.11426061,0.12429868,0.11577361,0.12060537,0.11007449,0.12367171,0.120759174,0.13333216,0.12994944,0.14704388,0.12214045
