time,r4i1p1f1,r1i1p1f1,r5i1p1f1,r6i1p1f1,r2i1p1f1,r3i1p1f1
1986-06-16 00:00:00,0.055491235,0.04517569,0.040730387,0.051758856,0.05139205,0.049504194
1986-07-16 12:00:00,0.051364675,0.0440538,0.041538905,0.030284354,0.03049559,0.036770187
1986-08-16 12:00:00,0.031730887,0.024018176,0.05756682,0.037370596,0.034745626,0.02892597
1986-09-16 00:00:00,0.04390163,0.047490425,0.04899574,0.061977245,0.035799216,0.03541005
1986-10-16 12:00:00,0.06897351,0.058544185,0.049947787,0.051736347,0.059899937,0.04922228
1986-11-16 00:00:00,0.055108078,0.06616098,0.085191615,0.047043387,0.056694355,0.052005675
1986-12-16 12:00:00,0.050767314,0.0700155,0.07437577,0.062353168,0.072704,0.05347029
1987-01-16 12:00:00,0.07720486,0.07497239,0.062918425,0.051401053,0.06321848,0.05529998
1987-02-15 00:00:00,0.07164479,0.07091922,0.07267194,0.06003678,0.06895979,0.08533869
1987-03-16 12:00:00,0.049873933,0.05371101,0.05642858,0.04538272,0.054549817,0.08027312
1987-04-16 00:00:00,0.049230795,0.044810638,0.05550325,0.05178294,0.045698687,0.044461235
1987-05-16 12:00:00,0.035420608,0.03951642,0.043089144,0.035377067,0.048674807,0.04744842
1987-06-16 00:00:00,0.04327853,0.027578017,0.050971493,0.029743338,0.037387114,0.038313683
1987-07-16 12:00:00,0.035942253,0.028662112,0.049752742,0.031511646,0.03794117,0.033916093
1987-08-16 12:00:00,0.039669555,0.035403922,0.050221365,0.02674945,0.028228248,0.03675633
1987-09-16 00:00:00,0.03959262,0.031063505,0.04908617,0.050501186,0.04277244,0.051139228
1987-10-16 12:00:00,0.055994444,0.05182591,0.050937463,0.042071182,0.053996094,0.07230343
1987-11-16 00:00:00,0.039801713,0.062411975,0.04391123,0.06850409,0.04743692,0.06551801
1987-12-16 12:00:00,0.05371026,0.063850224,0.06024009,0.057827346,0.08522438,0.06371312
1988-01-16 12:00:00,0.06415069,0.060840182,0.06066042,0.05786097,0.06659448,0.06634966
1988-02-15 12:00:00,0.071762174,0.065158285,0.05134297,0.063412935,0.068557516,0.05628607
1988-03-16 12:00:00,0.06470036,0.061178487,0.05137963,0.04872992,0.053644955,0.05400233
1988-04-16 00:00:00,0.05966025,0.05035358,0.0508127,0.03835987,0.06451784,0.05148871
1988-05-16 12:00:00,0.04676235,0.034117457,0.05503746,0.030252937,0.040211592,0.053485602
1988-06-16 00:00:00,0.039771333,0.03386261,0.03480994,0.06346875,0.043776315,0.03545324
1988-07-16 12:00:00,0.058404054,0.031009937,0.03546404,0.051449668,0.0431096,0.033756226
1988-08-16 12:00:00,0.042408776,0.04993644,0.043471348,0.037980866,0.027270377,0.05233719
1988-09-16 00:00:00,0.054319818,0.067226745,0.046119086,0.044978313,0.039419916,0.057715733
1988-10-16 12:00:00,0.06389886,0.056001775,0.05596004,0.061844748,0.03804457,0.05284571
1988-11-16 00:00:00,0.06682561,0.059252016,0.074074574,0.05747236,0.0562119,0.06508333
1988-12-16 12:00:00,0.05660821,0.060432434,0.06392233,0.066103764,0.07200226,0.05095383
1989-01-16 12:00:00,0.08040296,0.053862646,0.06546822,0.060742557,0.05847114,0.058251683
1989-02-15 00:00:00,0.061368134,0.06960789,0.050099097,0.061254755,0.06662548,0.06403403
1989-03-16 12:00:00,0.07142188,0.07011508,0.056072906,0.055189546,0.054159313,0.056471527
1989-04-16 00:00:00,0.056592796,0.034298882,0.04063705,0.05116218,0.056381244,0.057565648
1989-05-16 12:00:00,0.054591604,0.05622845,0.031464558,0.053351466,0.033781864,0.045528
1989-06-16 00:00:00,0.039462652,0.065740995,0.040771306,0.041841947,0.031002186,0.037480354
1989-07-16 12:00:00,0.03755001,0.04147782,0.041572075,0.04137943,0.032449666,0.028912596
1989-08-16 12:00:00,0.03803986,0.031648688,0.026899353,0.040690552,0.042751882,0.03833788
1989-09-16 00:00:00,0.043702763,0.040837504,0.039516225,0.048704494,0.052920435,0.03936939
1989-10-16 12:00:00,0.07044508,0.061502412,0.056225814,0.0340017,0.052696615,0.06513802
1989-11-16 00:00:00,0.07317933,0.056529187,0.04200817,0.06689556,0.047020853,0.055564333
1989-12-16 12:00:00,0.0536215,0.051312655,0.066629484,0.058077488,0.03903462,0.068912245
1990-01-16 12:00:00,0.07714838,0.067436256,0.048031915,0.065417685,0.042199478,0.0664117
1990-02-15 00:00:00,0.07053889,0.07420812,0.06630973,0.05771958,0.06475676,0.07113008
1990-03-16 12:00:00,0.054738313,0.052343354,0.04599643,0.07333087,0.048039198,0.06869837
1990-04-16 00:00:00,0.054607898,0.051012754,0.05287451,0.03899403,0.046203807,0.04557721
1990-05-16 12:00:00,0.05507205,0.041453447,0.033871245,0.03904338,0.036890924,0.029770482
1990-06-16 00:00:00,0.04144742,0.057404406,0.048081674,0.05277771,0.032290284,0.047983617
1990-07-16 12:00:00,0.043260764,0.02570231,0.028511116,0.042502444,0.029924087,0.03099129
1990-08-16 12:00:00,0.031895876,0.02909702,0.029355612,0.034026537,0.05306136,0.042787947
1990-09-16 00:00:00,0.050243434,0.04938949,0.042718105,0.043064825,0.04413403,0.05104351
1990-10-16 12:00:00,0.06155106,0.049746227,0.05428299,0.05045479,0.06392889,0.05052173
1990-11-16 00:00:00,0.05015166,0.044605397,0.052384738,0.04374489,0.04788022,0.05370409
1990-12-16 12:00:00,0.05718739,0.053155806,0.053299736,0.072201215,0.052944947,0.078310154
1991-01-16 12:00:00,0.05824874,0.07853204,0.06262951,0.08116139,0.06605735,0.075670324
1991-02-15 00:00:00,0.046348594,0.07150986,0.05924143,0.062023256,0.068506785,0.06731315
1991-03-16 12:00:00,0.05740456,0.059894476,0.06328446,0.04634541,0.047309384,0.055143118
1991-04-16 00:00:00,0.058428843,0.05516107,0.055788103,0.0433445,0.03962163,0.044122115
1991-05-16 12:00:00,0.0653901,0.04448028,0.034569096,0.05332595,0.03999142,0.044043947
1991-06-16 00:00:00,0.06045302,0.03971884,0.035115477,0.03999575,0.03824492,0.062181026
1991-07-16 12:00:00,0.04417477,0.027490081,0.03264659,0.02971016,0.031131348,0.04313649
1991-08-16 12:00:00,0.050227504,0.04115869,0.032965083,0.045768682,0.03170365,0.04261199
1991-09-16 00:00:00,0.046590343,0.03576648,0.048018005,0.047445465,0.04511982,0.045419224
1991-10-16 12:00:00,0.056603797,0.04875156,0.04146587,0.036592472,0.06897765,0.05501406
1991-11-16 00:00:00,0.053436,0.07627773,0.05250499,0.053469148,0.06075294,0.06996175
1991-12-16 12:00:00,0.07045152,0.065416776,0.04254064,0.07014013,0.04894023,0.06421449
1992-01-16 12:00:00,0.07301355,0.07079522,0.067368,0.06535709,0.05651192,0.078200795
1992-02-15 12:00:00,0.06394983,0.07377228,0.06742663,0.063509084,0.077149555,0.065632045
1992-03-16 12:00:00,0.0654978,0.048506584,0.06396629,0.05555015,0.061613735,0.06082124
1992-04-16 00:00:00,0.055703036,0.050278198,0.05503259,0.04262012,0.050663024,0.05890787
1992-05-16 12:00:00,0.03414632,0.05211545,0.03850692,0.06854587,0.044640932,0.05793902
1992-06-16 00:00:00,0.068809405,0.051567562,0.053253755,0.036858067,0.04266778,0.049991094
1992-07-16 12:00:00,0.06162372,0.041704487,0.051473577,0.033017624,0.03445726,0.04221498
1992-08-16 12:00:00,0.028215315,0.034759127,0.028125675,0.030741462,0.045205228,0.030659337
1992-09-16 00:00:00,0.06193572,0.050252665,0.037546538,0.059452176,0.035629265,0.044101242
1992-10-16 12:00:00,0.042815063,0.04192698,0.060468536,0.05097277,0.046472292,0.05641838
1992-11-16 00:00:00,0.040225953,0.066350915,0.06147836,0.055641938,0.05951002,0.054743107
1992-12-16 12:00:00,0.066078156,0.060778957,0.062291466,0.06470392,0.06194501,0.06314258
1993-01-16 12:00:00,0.06284437,0.06330815,0.0617242,0.053493883,0.07626212,0.07777803
1993-02-15 00:00:00,0.06540937,0.06277585,0.06339296,0.06950904,0.06582008,0.07369638
1993-03-16 12:00:00,0.07814988,0.062570326,0.051361702,0.054366056,0.09037535,0.069068894
1993-04-16 00:00:00,0.0597144,0.04784159,0.051310822,0.051856235,0.049553238,0.06332661
1993-05-16 12:00:00,0.042446926,0.04248748,0.04139833,0.039049923,0.036294367,0.063056864
1993-06-16 00:00:00,0.041119717,0.04217737,0.0345916,0.047551937,0.034187324,0.04121392
1993-07-16 12:00:00,0.036670856,0.048102,0.034982637,0.03604011,0.029682463,0.03246815
1993-08-16 12:00:00,0.030761737,0.054161347,0.051210728,0.029459095,0.03272469,0.031498913
1993-09-16 00:00:00,0.04344255,0.05581476,0.028627018,0.032548886,0.04742649,0.040914673
1993-10-16 12:00:00,0.064805076,0.046925303,0.05271348,0.060662746,0.06535927,0.041123595
1993-11-16 00:00:00,0.06868666,0.046158344,0.06985295,0.037100356,0.060140472,0.04167362
1993-12-16 12:00:00,0.081738114,0.055332147,0.063449934,0.046679888,0.07218977,0.050878823
1994-01-16 12:00:00,0.08056172,0.062496573,0.06172411,0.060750373,0.0721789,0.059641365
1994-02-15 00:00:00,0.078372166,0.07299846,0.058196973,0.05985897,0.06143724,0.061488286
1994-03-16 12:00:00,0.06196297,0.056804053,0.047987383,0.05193157,0.06047879,0.06039287
1994-04-16 00:00:00,0.061537422,0.05544397,0.05239317,0.0461464,0.04480135,0.038555123
1994-05-16 12:00:00,0.05732329,0.03521968,0.041190505,0.042124618,0.03450976,0.037018996
1994-06-16 00:00:00,0.03797273,0.042381845,0.033204563,0.038097676,0.041950088,0.044855177
1994-07-16 12:00:00,0.0331365,0.036301162,0.03318738,0.047032766,0.0320945,0.037241276
1994-08-16 12:00:00,0.027207969,0.025001597,0.031235306,0.032104112,0.036773924,0.036388393
1994-09-16 00:00:00,0.040359296,0.049206037,0.033913705,0.05827726,0.033494473,0.031980492
1994-10-16 12:00:00,0.059585705,0.05009714,0.041303556,0.054533046,0.045166373,0.079351515
1994-11-16 00:00:00,0.055563763,0.04288846,0.049829654,0.05050039,0.055015244,0.06497614
1994-12-16 12:00:00,0.06481476,0.054734383,0.051874742,0.06498899,0.06746338,0.059143975
1995-01-16 12:00:00,0.05450778,0.061075665,0.05252352,0.092273146,0.053815037,0.060367472
1995-02-15 00:00:00,0.054074425,0.05720726,0.07353277,0.05479434,0.048769396,0.07275211
1995-03-16 12:00:00,0.056659088,0.062549286,0.07021351,0.060924873,0.06166812,0.052300505
1995-04-16 00:00:00,0.059449017,0.05705549,0.05163751,0.039732415,0.061965965,0.052608922
1995-05-16 12:00:00,0.03781519,0.035857376,0.050915655,0.036470354,0.044478174,0.046301678
1995-06-16 00:00:00,0.05369707,0.04028731,0.042233802,0.048079636,0.042697873,0.032616995
1995-07-16 12:00:00,0.029581638,0.03453922,0.02760096,0.031499762,0.030190634,0.027879627
1995-08-16 12:00:00,0.033048756,0.02994637,0.021869866,0.031031784,0.028227312,0.023047453
1995-09-16 00:00:00,0.050289713,0.050078858,0.025736876,0.04032515,0.04035147,0.039236963
1995-10-16 12:00:00,0.0537847,0.0684425,0.05156751,0.05893425,0.060764436,0.043541852
1995-11-16 00:00:00,0.052950293,0.037977528,0.037149154,0.046885937,0.05281804,0.068173885
1995-12-16 12:00:00,0.07504802,0.07552596,0.051698506,0.05429803,0.057302922,0.05630127
1996-01-16 12:00:00,0.05601866,0.064922005,0.058709063,0.07961889,0.050326858,0.07604487
1996-02-15 12:00:00,0.058091655,0.06446092,0.072438896,0.05833998,0.060081605,0.052508686
1996-03-16 12:00:00,0.045004185,0.062723346,0.062224522,0.055213988,0.057762507,0.054730482
1996-04-16 00:00:00,0.060678113,0.05059417,0.043893214,0.06325388,0.037423525,0.052137457
1996-05-16 12:00:00,0.040277388,0.040415578,0.044955675,0.03717558,0.028089177,0.045761958
1996-06-16 00:00:00,0.058760617,0.041900944,0.040391322,0.03918879,0.03687122,0.062435094
1996-07-16 12:00:00,0.038582,0.0396535,0.033577878,0.023969889,0.027629614,0.05059692
1996-08-16 12:00:00,0.036923844,0.04229108,0.043783788,0.037614062,0.036125965,0.039859626
1996-09-16 00:00:00,0.052641515,0.044242464,0.05664404,0.034605704,0.0493216,0.039079484
1996-10-16 12:00:00,0.061232515,0.06520458,0.052371286,0.03636121,0.051686533,0.07097317
1996-11-16 00:00:00,0.043339014,0.053272653,0.050491318,0.048965134,0.04822882,0.049158968
1996-12-16 12:00:00,0.07062538,0.05708146,0.041753355,0.079691425,0.049711797,0.057888985
1997-01-16 12:00:00,0.055381652,0.08462439,0.066573314,0.06211529,0.061411403,0.061591495
1997-02-15 00:00:00,0.068397775,0.069597475,0.06345611,0.056864046,0.07126553,0.0743904
1997-03-16 12:00:00,0.052810043,0.044567816,0.056475267,0.066155106,0.05502943,0.047705203
1997-04-16 00:00:00,0.04862817,0.046621878,0.042859696,0.06723795,0.06515328,0.047044955
