time,r7i1p1f1,r1i1p1f1,r3i1p1f1,r4i1p1f1,r2i1p1f1,r6i1p1f1
1986-03-16 12:00:00,0.122592695,0.12203332,0.13686314,0.11504613,0.11821056,0.117737725
1986-04-16 00:00:00,0.09463508,0.108118534,0.10821578,0.10501835,0.11468065,0.12453476
1986-05-16 12:00:00,0.09790464,0.112170614,0.10424378,0.10136003,0.10408811,0.10466633
1986-06-16 00:00:00,0.10065986,0.09917288,0.12190425,0.12463888,0.10770304,0.11014791
1986-07-16 12:00:00,0.09674114,0.10918178,0.12690353,0.11882665,0.13077074,0.10704918
1986-08-16 12:00:00,0.09496451,0.09047449,0.12819423,0.119269155,0.111728534,0.11930806
1986-09-16 00:00:00,0.09448125,0.10412243,0.12236851,0.11348877,0.11245164,0.102798566
1986-10-16 12:00:00,0.10027284,0.11370332,0.14457576,0.12592708,0.10398163,0.109844334
1986-11-16 00:00:00,0.1308935,0.12451432,0.13970946,0.13975397,0.120400816,0.12860766
1986-12-16 12:00:00,0.14001425,0.13448705,0.14145218,0.14239392,0.12133684,0.13902144
1987-01-16 12:00:00,0.15014246,0.13121082,0.14065412,0.13217904,0.13607642,0.14166814
1987-02-15 00:00:00,0.12464224,0.14402504,0.14346589,0.14298464,0.13245226,0.15088032
1987-03-16 12:00:00,0.12621443,0.12896626,0.1391079,0.1277278,0.11468234,0.13169555
1987-04-16 00:00:00,0.11958323,0.122384414,0.12046501,0.108420596,0.1067178,0.1304387
1987-05-16 12:00:00,0.10361404,0.113661006,0.097204186,0.11200504,0.09342604,0.09938047
1987-06-16 00:00:00,0.08931073,0.09248212,0.12553503,0.11496483,0.116223074,0.120468386
1987-07-16 12:00:00,0.09299325,0.11486478,0.12436299,0.107431926,0.10976132,0.09695857
1987-08-16 12:00:00,0.11562,0.10434446,0.1399676,0.11108224,0.10653007,0.11870872
1987-09-16 00:00:00,0.113087386,0.09185094,0.112161934,0.10906273,0.112402886,0.10503125
1987-10-16 12:00:00,0.097431175,0.109988004,0.14048319,0.10793915,0.103840865,0.12143843
1987-11-16 00:00:00,0.11694878,0.10725995,0.1316035,0.114802495,0.13381134,0.12956052
1987-12-16 12:00:00,0.11720349,0.11967194,0.13504197,0.15154503,0.12790835,0.12077849
1988-01-16 12:00:00,0.124458365,0.14486773,0.15518363,0.13602847,0.14088395,0.14645067
1988-02-15 12:00:00,0.13501514,0.14054216,0.15350431,0.11906359,0.14935727,0.13053553
1988-03-16 12:00:00,0.13931301,0.11823589,0.1365972,0.13943982,0.13944168,0.14064589
1988-04-16 00:00:00,0.107996024,0.12534755,0.11980708,0.12566416,0.11931696,0.11090902
1988-05-16 12:00:00,0.11247217,0.10203739,0.1188699,0.092875175,0.11156179,0.11889053
1988-06-16 00:00:00,0.11185414,0.11033365,0.11198294,0.11520246,0.107468545,0.114156775
1988-07-16 12:00:00,0.11082506,0.10949674,0.113033906,0.1247815,0.11124989,0.09462129
1988-08-16 12:00:00,0.12694557,0.0937885,0.12946808,0.11755076,0.121207476,0.109300986
1988-09-16 00:00:00,0.120909095,0.09718201,0.12389106,0.09022881,0.10742143,0.11261858
1988-10-16 12:00:00,0.10075692,0.096714444,0.10125104,0.11376951,0.12396438,0.13238342
1988-11-16 00:00:00,0.12097542,0.13371642,0.14690839,0.12277424,0.13658534,0.116701946
1988-12-16 12:00:00,0.12878306,0.1380042,0.14675054,0.15572251,0.15766402,0.13098842
1989-01-16 12:00:00,0.14950186,0.14375402,0.14494248,0.14586788,0.15390472,0.13183244
1989-02-15 00:00:00,0.12565093,0.130505,0.14680248,0.124868326,0.15060475,0.13414583
1989-03-16 12:00:00,0.13784567,0.1304766,0.13643938,0.13074976,0.12349104,0.116759196
1989-04-16 00:00:00,0.10718788,0.12091532,0.13287644,0.11866044,0.111708134,0.11500298
1989-05-16 12:00:00,0.10671219,0.09654412,0.11540529,0.10526873,0.11183184,0.10739708
1989-06-16 00:00:00,0.11400422,0.10684774,0.11423447,0.11401208,0.11002659,0.12724783
1989-07-16 12:00:00,0.11070922,0.09799734,0.113779224,0.11874667,0.11084974,0.118031405
1989-08-16 12:00:00,0.10994424,0.09681471,0.11132702,0.11859602,0.1431589,0.1365986
1989-09-16 00:00:00,0.11998644,0.113710105,0.11852295,0.12169608,0.12988588,0.10095776
1989-10-16 12:00:00,0.111465685,0.11253714,0.12368071,0.13118301,0.12737837,0.12155196
1989-11-16 00:00:00,0.13011602,0.14915574,0.1251997,0.1360622,0.12339986,0.13804893
1989-12-16 12:00:00,0.147344,0.14527847,0.13298774,0.15739144,0.1471379,0.1253407
1990-01-16 12:00:00,0.1456236,0.1402865,0.13238929,0.14044224,0.15085864,0.1363853
1990-02-15 00:00:00,0.1321604,0.15272982,0.12508176,0.13080078,0.1264273,0.15049736
1990-03-16 12:00:00,0.12728177,0.14033002,0.11363711,0.13980533,0.1174899,0.12665501
1990-04-16 00:00:00,0.10670007,0.12455357,0.11128716,0.11315716,0.116108306,0.114804305
1990-05-16 12:00:00,0.11843304,0.10206936,0.11267329,0.11463981,0.10281867,0.11253749
1990-06-16 00:00:00,0.11672239,0.10040217,0.11878134,0.10995716,0.119278856,0.10543187
1990-07-16 12:00:00,0.10575834,0.10155477,0.12680916,0.11399707,0.123122506,0.11083674
1990-08-16 12:00:00,0.12833166,0.11162536,0.121802,0.1299423,0.13262077,0.101181485
1990-09-16 00:00:00,0.108285435,0.10666902,0.12146207,0.108492635,0.10792803,0.10679169
1990-10-16 12:00:00,0.11809541,0.12057023,0.1267194,0.1124759,0.117721304,0.11794215
1990-11-16 00:00:00,0.13071117,0.11899741,0.13325053,0.12847236,0.1433267,0.14836183
